label;Anatomy;region_name;hemisphere;case_id;node_set_id;local_label;node_id;seg_label;x;y;z;graph_seed;node_count;node_hash;degree_export_k20;strength_export_k20;KMeans_k20_c16_s0_Clustering;degree_export_k40;strength_export_k40;KMeans_k40_c16_s0_Clustering
74;left_module_13;UPENN-GBM-00013_11 node 73;left;UPENN-GBM-00013_11;UPENN-GBM-00013_11__n21760_s0;74;73;2;119;187;111;0;21760;ca408ea2661298e28e13bb5ef2736db1f5c4f37911e7b274e210cbd8530a6098;9;9.593859;13;14;24.193137;13
75;left_module_13;UPENN-GBM-00013_11 node 74;left;UPENN-GBM-00013_11;UPENN-GBM-00013_11__n21760_s0;75;74;2;119;187;112;0;21760;ca408ea2661298e28e13bb5ef2736db1f5c4f37911e7b274e210cbd8530a6098;11;13.695826;13;8;13.286799;13
76;left_module_1;UPENN-GBM-00013_11 node 75;left;UPENN-GBM-00013_11;UPENN-GBM-00013_11__n21760_s0;76;75;2;119;188;106;0;21760;ca408ea2661298e28e13bb5ef2736db1f5c4f37911e7b274e210cbd8530a6098;10;5.8957096;1;12;8.8564343;1
77;left_module_6;UPENN-GBM-00013_11 node 76;left;UPENN-GBM-00013_11;UPENN-GBM-00013_11__n21760_s0;77;76;2;119;188;107;0;21760;ca408ea2661298e28e13bb5ef2736db1f5c4f37911e7b274e210cbd8530a6098;9;6.3238489;6;9;7.1448316;6
78;left_module_6;UPENN-GBM-00013_11 node 77;left;UPENN-GBM-00013_11;UPENN-GBM-00013_11__n21760_s0;78;77;2;119;188;108;0;21760;ca408ea2661298e28e13bb5ef2736db1f5c4f37911e7b274e210cbd8530a6098;9;5.904999;6;13;11.397579;6
79;left_module_13;UPENN-GBM-00013_11 node 78;left;UPENN-GBM-00013_11;UPENN-GBM-00013_11__n21760_s0;79;78;2;119;188;109;0;21760;ca408ea2661298e28e13bb5ef2736db1f5c4f37911e7b274e210cbd8530a6098;11;10.98977;13;14;16.759688;13
80;left_module_13;UPENN-GBM-00013_11 node 79;left;UPENN-GBM-00013_11;UPENN-GBM-00013_11__n21760_s0;80;79;2;119;188;110;0;21760;ca408ea2661298e28e13bb5ef2736db1f5c4f37911e7b274e210cbd8530a6098;11;14.990301;13;9;13.83344;13
81;left_module_13;UPENN-GBM-00013_11 node 80;left;UPENN-GBM-00013_11;UPENN-GBM-00013_11__n21760_s0;81;80;2;119;188;111;0;21760;ca408ea2661298e28e13bb5ef2736db1f5c4f37911e7b274e210cbd8530a6098;13;17.611484;13;10;16.38765;13
82;left_module_13;UPENN-GBM-00013_11 node 81;left;UPENN-GBM-00013_11;UPENN-GBM-00013_11__n21760_s0;82;81;2;119;188;112;0;21760;ca408ea2661298e28e13bb5ef2736db1f5c4f37911e7b274e210cbd8530a6098;9;14.191283;13;11;16.807918;13
83;left_module_6;UPENN-GBM-00013_11 node 82;left;UPENN-GBM-00013_11;UPENN-GBM-00013_11__n21760_s0;83;82;2;119;189;106;0;21760;ca408ea2661298e28e13bb5ef2736db1f5c4f37911e7b274e210cbd8530a6098;8;5.9018694;6;10;8.4218997;6
84;left_module_6;UPENN-GBM-00013_11 node 83;left;UPENN-GBM-00013_11;UPENN-GBM-00013_11__n21760_s0;84;83;2;119;189;107;0;21760;ca408ea2661298e28e13bb5ef2736db1f5c4f37911e7b274e210cbd8530a6098;10;6.5659356;6;16;15.792293;6
85;left_module_13;UPENN-GBM-00013_11 node 84;left;UPENN-GBM-00013_11;UPENN-GBM-00013_11__n21760_s0;85;84;2;119;189;108;0;21760;ca408ea2661298e28e13bb5ef2736db1f5c4f37911e7b274e210cbd8530a6098;11;9.6551479;13;14;14.651582;13
86;left_module_13;UPENN-GBM-00013_11 node 85;left;UPENN-GBM-00013_11;UPENN-GBM-00013_11__n21760_s0;86;85;2;119;189;109;0;21760;ca408ea2661298e28e13bb5ef2736db1f5c4f37911e7b274e210cbd8530a6098;11;11.676046;13;15;20.170149;13
87;left_module_13;UPENN-GBM-00013_11 node 86;left;UPENN-GBM-00013_11;UPENN-GBM-00013_11__n21760_s0;87;86;2;119;189;110;0;21760;ca408ea2661298e28e13bb5ef2736db1f5c4f37911e7b274e210cbd8530a6098;10;11.7202;13;8;12.338638;13
88;left_module_13;UPENN-GBM-00013_11 node 87;left;UPENN-GBM-00013_11;UPENN-GBM-00013_11__n21760_s0;88;87;2;119;189;111;0;21760;ca408ea2661298e28e13bb5ef2736db1f5c4f37911e7b274e210cbd8530a6098;9;9.7791981;13;12;18.170563;13
89;left_module_6;UPENN-GBM-00013_11 node 88;left;UPENN-GBM-00013_11;UPENN-GBM-00013_11__n21760_s0;89;88;2;119;190;106;0;21760;ca408ea2661298e28e13bb5ef2736db1f5c4f37911e7b274e210cbd8530a6098;11;9.2141738;6;18;19.181272;6
90;left_module_13;UPENN-GBM-00013_11 node 89;left;UPENN-GBM-00013_11;UPENN-GBM-00013_11__n21760_s0;90;89;2;119;190;107;0;21760;ca408ea2661298e28e13bb5ef2736db1f5c4f37911e7b274e210cbd8530a6098;8;7.6324635;13;13;15.180449;13
91;left_module_13;UPENN-GBM-00013_11 node 90;left;UPENN-GBM-00013_11;UPENN-GBM-00013_11__n21760_s0;91;90;2;119;190;108;0;21760;ca408ea2661298e28e13bb5ef2736db1f5c4f37911e7b274e210cbd8530a6098;11;12.669489;13;10;13.524443;13
92;left_module_13;UPENN-GBM-00013_11 node 91;left;UPENN-GBM-00013_11;UPENN-GBM-00013_11__n21760_s0;92;91;2;119;190;109;0;21760;ca408ea2661298e28e13bb5ef2736db1f5c4f37911e7b274e210cbd8530a6098;9;10.676024;13;12;16.056398;13
93;left_module_13;UPENN-GBM-00013_11 node 92;left;UPENN-GBM-00013_11;UPENN-GBM-00013_11__n21760_s0;93;92;2;119;190;110;0;21760;ca408ea2661298e28e13bb5ef2736db1f5c4f37911e7b274e210cbd8530a6098;8;9.9316649;13;16;23.117832;13
