label,Iso_map,,,RandomTrees,,,Spec-tral,,,t_SNE,,,IsomapClustering,Random_TreesClustering,SpectralClustering,t-SNEClustering,LouvainClustering
109,-9.30897,4.50398,-0.12325,13.47627,-3.15352,2.077,-0.00455,0.00359,-705,-75.19143,-10.93943,3.46094,2,2,1,2,3
110,8.61265,-5.92671,-1.56172,1.02325,5.33877,2.23572,0.00398,-0.00417,-0.00401,20.91236,24.2195,-24.85091,1,1,1,2,2
111,7.10951,-5.24996,-6.89497,1.80739,5.79759,1.37455,0.00276,-0.00397,-0.00544,1.74591,7.91626,-26.61836,1,1,1,2,3
112,-1.26844,-2.13276,-8.28114,3.12176,3.63865,0.51314,0.00084,-0.00121,-0.00687,-21.99079,-20.56043,-37.28488,1,1,1,2,1
113,-8.44311,4.17281,0.07187,13.47627,-3.15352,2.077,-0.00455,0.0036,-705,12.67073,0.42105,14.28513,2,2,1,2,2
114,11.84194,-9.89903,3.19783,0.6857,6.44436,3.47825,0.0053,-0.00568,0.00152,28.82305,-66.55054,55.25168,1,1,1,1,2
115,-9.94434,4.75579,-0.25405,12.63859,-3.01018,1.93201,-0.00447,0.00341,0.00052,-66.12718,9.08521,26.17184,2,1,1,2,4
116,-5.87276,5.84437,-3.27909,8.06519,-0.62991,0.9065,-0.00272,0.00268,-0.00359,-35.33498,45.61316,2.15625,1,1,1,2,1
117,11.51836,-10.20281,0.31642,0.83225,6.06654,2.82663,0.0049,-0.00563,-0.00037,51.72529,29.45101,-46.95074,1,1,1,2,1
118,11.95358,-7.70423,-2.11589,0.65772,5.76649,3.09584,0.00491,-0.00532,-0.00072,45.20316,15.09304,-32.85632,1,1,1,2,2
119,10.73614,-9.45175,0.61519,0.80856,6.07991,2.91037,0.0049,-0.00582,0.00014,44.741,24.13637,-20.25341,1,1,1,2,2
120,-8.44311,4.17281,0.07187,13.47627,-3.15352,2.077,-0.00455,0.0036,-705,50.29582,18.54802,5.27388,2,2,1,2,4
121,3.73718,-2.66427,-6.15818,2.50694,4.80243,0.44684,0.00156,-0.00273,-0.00811,-3.30853,-14.83522,-35.91518,1,1,1,2,1
122,-0.41263,0.93929,-5.23296,4.1817,3.43082,0.12591,0.00011,-0.00074,-0.00854,-28.10062,-32.27852,-20.36224,1,1,1,2,1
123,9.61451,-8.06683,-0.64219,1.08151,6.68968,2.18947,0.00406,-0.00564,-0.00362,68.51435,-68.96316,9.57384,1,1,1,2,1
124,3.19387,-3.85118,-6.82088,1.95279,5.3963,0.53344,0.00195,-0.00312,-0.00748,-1.7626,-12.04456,-48.25519,1,1,1,2,1
125,-5.72803,3.30697,-1.2483,9.56907,0.84899,-0.38335,-0.00285,0.00083,-0.00383,29.09814,31.99506,54.21694,1,1,1,2,2
126,7.53668,-7.6494,-1.16773,1.30775,5.92071,1.68922,0.00368,-0.00548,-0.00315,36.12964,-3.36192,-49.5106,1,1,1,2,4
127,8.68804,-9.34447,-0.81008,1.27744,6.65593,2.05832,0.004,-0.00649,-0.00139,40.21566,35.33582,-33.68236,1,1,1,2,1
128,-9.3358,4.43945,0.16937,13.24321,-3.0675,1.97054,-0.00453,0.00352,0.00023,-4.18844,-1.48003,34.81211,2,4,1,2,3
129,-5.10132,4.23147,-4.03313,6.89965,1.80815,-0.72317,-0.0021,0.00035,-0.00524,-45.74296,34.19727,26.46162,1,1,1,2,4
130,5.43576,-6.25346,-4.36403,1.89706,6.61228,0.71373,0.00281,-0.00534,-0.00476,12.30066,-7.08443,-38.65721,1,1,1,2,1
131,6.94216,-8.02632,-2.42796,1.16635,7.23083,1.14079,0.00329,-0.00668,-0.00198,24.65996,4.19169,-35.45199,1,1,1,2,3
132,-0.58383,-0.25909,-4.92393,4.48106,4.25762,-0.65703,-0.00031,-0.00175,-0.00765,11.27638,30.81341,13.21899,1,1,1,2,4
133,1.61699,-2.1042,-4.67367,3.60824,5.3239,0.01834,0.00109,-0.00358,-0.00624,8.08716,18.40832,-6.85941,1,1,1,2,2
134,3.81287,-6.04501,-1.24206,3.20883,6.03527,0.02899,0.002,-0.00495,-0.00487,24.32706,22.65416,-7.23028,1,1,1,2,2
135,-6.32732,1.6554,-1.58101,8.79609,1.08039,-0.62784,-0.00238,205,-0.00318,-53.57948,-16.87945,-47.1286,1,1,1,2,2
136,5.7993,-6.92945,-3.59032,1.98568,6.34788,0.69015,0.00281,-0.00559,-0.00478,18.29845,5.62236,-15.30135,1,1,1,2,2
137,5.86252,-8.72905,-0.40077,1.72437,7.15345,1.109,0.0034,-0.00669,-0.00219,32.98802,8.93707,-18.30827,1,1,1,2,2
138,3.88047,-6.82019,-3.64955,2.79203,6.79705,-0.92431,0.00197,-0.00605,-0.00397,15.8091,-18.83992,-56.95544,1,1,1,2,2
139,6.11809,-9.44664,0.28443,1.29851,6.80919,0.48285,0.00335,-0.00739,-0.00015,39.85979,-1.88423,-29.9603,1,1,1,2,4
140,7.76376,-11.05742,3.50059,1.14938,6.91877,0.84598,0.00372,-0.00807,0.00209,30.86408,-6.34878,-20.33899,1,1,1,2,2
141,1.48904,-6.08208,-5.54012,2.72644,6.06277,-0.86996,0.00125,-0.00505,-0.00483,12.52919,-16.72526,-20.70243,1,1,1,2,1
142,0.01134,-2.09106,-0.3958,4.59963,4.72869,-1.79688,705,-0.0037,-0.00351,49.69268,41.40402,7.24519,1,1,1,2,2
143,-5.30099,1.37466,-1.35203,6.5417,3.69574,-2.17191,-0.00163,-0.00188,-0.00347,31.69258,44.85512,40.75302,1,1,1,2,2
144,-3.9296,0.58653,-3.45332,6.39449,3.31042,-1.03961,-0.00123,-0.00121,-0.00697,-39.02365,-32.8733,-37.71101,1,1,1,2,1
145,-6.3186,-0.94418,-2.85632,7.74628,2.57058,-1.03654,-0.00207,-0.00101,-0.00355,-33.19816,-55.96734,-17.23898,1,1,1,2,2
146,0.19282,-4.42439,-7.8111,3.231,5.89074,-1.09648,0.00053,-0.00399,-0.00706,-6.06336,-23.54846,-17.79052,1,1,1,2,1
147,1.483,-5.40265,-4.04838,3.34387,6.62512,-1.77409,0.00095,-0.00532,-0.00524,-49.04539,110.90808,-0.86755,1,1,1,1,1
148,2.38164,-9.39735,-1.58035,1.88132,6.63038,-1.45286,0.00163,-0.00662,-0.00167,7.9945,-32.8873,-64.93238,1,1,1,2,3
149,-1.64774,-5.48475,-4.77238,4.17669,6.02926,-2.28514,0.00059,-0.00493,-0.00453,-4.72678,-36.20438,-44.72371,1,1,1,2,2
150,-1.46564,-3.14161,-7.7615,4.36375,4.98399,-1.21357,-605,-0.00351,-0.00603,5.24339,-9.93807,-6.28348,1,1,1,2,1
151,2.90275,-10.53594,2.4322,1.44585,6.91319,-1.70878,0.00221,-0.0082,0.00114,69.18643,-23.68086,34.74306,1,1,1,2,3
152,-8.44311,4.17281,0.07187,13.47627,-3.15352,2.077,-0.00455,0.0036,-705,-63.19747,21.99394,-7.5643,2,2,1,2,1
153,-4.4952,-1.77445,-3.268,6.96663,3.87166,-2.52123,-0.00133,-0.00253,-0.00404,14.01727,12.70585,34.20139,1,1,1,2,4
