Label,X,Y,Z
1432,133,105,36
1433,77,106,36
1434,106,107,36
1435,135,108,36
1436,131,109,36
1437,96,110,36
1438,142,111,36
1439,96,113,36
1440,102,113,36
1441,110,114,36
1442,119,115,36
1443,87,117,36
1444,94,118,36
1445,175,118,36
1446,116,119,36
1447,106,120,36
1448,154,120,36
1449,118,122,36
1450,99,123,36
1451,112,124,36
1452,89,126,36
1453,104,126,36
1454,153,127,36
1455,114,128,36
1456,91,129,36
1457,155,129,36
1458,114,131,36
1459,154,132,36
1460,143,133,36
1461,91,134,36
1462,152,134,36
1463,156,135,36
1464,83,136,36
1465,181,137,36
1466,112,139,36
1467,174,139,36
1468,100,140,36
1469,147,140,36
1470,94,142,36
1471,158,142,36
1472,152,144,36
1473,88,145,36
1474,101,146,36
1475,109,146,36
1476,134,147,36
1477,111,149,36
1478,163,150,36
1479,147,152,36
1480,114,153,36
1481,150,155,36
1482,113,157,36
1483,146,158,36
1484,149,158,36
1485,131,161,36
1486,159,161,36
1487,141,166,36
1488,125,169,36
1489,137,171,36
1490,125,175,36
1491,112,60,37
1492,113,60,37
1493,107,61,37
1494,146,63,37
1495,126,66,37
1496,140,68,37
1497,113,71,37
1498,115,73,37
1499,142,74,37
1500,120,76,37
1501,142,76,37
1502,150,78,37
1503,129,80,37
1504,149,80,37
1505,156,81,37
1506,115,82,37
1507,93,83,37
1508,108,83,37
1509,118,84,37
1510,161,85,37
1511,88,87,37
1512,97,89,37
1513,97,90,37
1514,166,91,37
1515,147,92,37
1516,87,94,37
1517,82,96,37
1518,110,97,37
1519,168,97,37
1520,117,98,37
1521,152,99,37
1522,88,101,37
1523,157,101,37
1524,112,102,37
1525,157,102,37
1526,107,104,37
1527,121,105,37
1528,154,105,37
1529,109,106,37
1530,82,108,37
1531,84,109,37
1532,139,109,37
1533,92,111,37
1534,109,111,37
1535,171,112,37
1536,173,112,37
1537,77,114,37
1538,117,115,37
1539,82,117,37
1540,104,118,37
1541,182,119,37
1542,160,120,37
1543,144,121,37
1544,101,122,37
1545,105,122,37
1546,86,124,37
1547,172,124,37
1548,141,125,37
1549,134,126,37
1550,183,126,37
1551,101,128,37
1552,87,130,37
1553,87,131,37
1554,114,131,37
1555,152,131,37
1556,112,133,37
1557,124,133,37
1558,140,134,37
1559,121,135,37
1560,142,135,37
1561,154,136,37
1562,178,136,37
1563,91,138,37
1564,118,139,37
1565,149,139,37
1566,115,140,37
1567,144,141,37
1568,108,142,37
1569,111,144,37
1570,150,145,37
1571,141,146,37
1572,88,147,37
1573,103,149,37
1574,141,149,37
1575,102,150,37
1576,114,152,37
1577,141,152,37
1578,122,153,37
1579,153,153,37
1580,149,155,37
1581,143,157,37
1582,123,158,37
1583,110,161,37
1584,134,161,37
1585,119,163,37
1586,129,165,37
1587,116,169,37
1588,140,172,37
1589,117,59,38
1590,150,62,38
1591,112,64,38
1592,157,66,38
1593,137,68,38
1594,133,70,38
1595,155,72,38
1596,120,75,38
1597,90,77,38
1598,122,79,38
1599,118,81,38
1600,122,81,38
1601,158,82,38
1602,163,82,38
1603,170,84,38
1604,122,86,38
1605,100,87,38
1606,128,87,38
1607,151,88,38
1608,115,89,38
1609,106,91,38
1610,100,93,38
1611,106,93,38
1612,164,93,38
1613,160,95,38
1614,116,97,38
1615,127,98,38
1616,171,98,38
1617,150,99,38
1618,119,101,38
1619,135,102,38
1620,107,104,38
1621,144,104,38
1622,157,104,38
1623,129,105,38
1624,110,107,38
1625,89,109,38
1626,180,109,38
1627,97,110,38
1628,113,111,38
1629,139,112,38
1630,100,114,38
1631,159,114,38
1632,181,114,38
1633,153,116,38
1634,123,117,38
1635,175,118,38
1636,112,119,38
1637,165,120,38
1638,135,122,38
1639,120,123,38
1640,116,124,38
1641,158,125,38
1642,129,126,38
1643,176,127,38
1644,116,128,38
1645,159,128,38
1646,145,129,38
1647,101,131,38
1648,156,131,38
1649,91,132,38
1650,104,133,38
1651,96,135,38
1652,101,136,38
1653,151,136,38
1654,128,138,38
1655,99,139,38
1656,110,140,38
1657,107,141,38
1658,87,142,38
1659,170,143,38
